Time_Sample	C0101	C0102	C0201	C0202	C0301	C0302	C0401	C0402	C0501	C0502	C0601	C0602	C0701	C0702	C0801	C0802	C0901	C0902	C1001	C1002
0.0	0.25345831692704707	0.23180730904148678	0.2595055094810456	0.24211307458978262	0.24628887184709056	0.22959679663070784	0.2382013384737365	0.23723422983882414	0.24698035469993282	0.24127649239859653	0.25841026276722007	0.25155570863654797	0.24854982303523157	0.2370664516214603	0.25818295346071785	0.25307060969597306	0.25375172462229506	0.2635889986890139	0.2516032071633832	0.24686132007093847
1.0	0.23729408149414843	0.2640386218850431	0.2640570518722911	0.24645077250701872	0.2599026681432756	0.24558343957212003	0.26191396228015695	0.250752135976729	0.25706857367429603	0.2556657652022624	0.251017113802978	0.2622006085526172	0.26027579217688207	0.24389340496177242	0.24356316723580992	0.26330738905090034	0.24260623659361685	0.2318814794399423	0.2630887688476948	0.24095552970209738
2.0	0.26182819210061165	0.2520994171840308	0.24692729350772447	0.24925009875535417	0.2595081836950215	0.24971703324293004	0.26255915228573234	0.25646732965187147	0.2646373247922514	0.24162201768542785	0.25154053653969555	0.23513624351629495	0.251649277494343	0.24485727407475968	0.23486283109062722	0.2587095495936594	0.25006297006242045	0.24357484841799493	0.24630960113360406	0.21633088638325054
3.0	0.25305139230990786	0.2623712362544091	0.24343936793890486	0.23708984289788204	0.2530678932869637	0.2543498401686268	0.2512790790966609	0.2468624864614904	0.2505049478609164	0.2662019137168965	0.2529122248122783	0.24643854773670415	0.256530045345952	0.2661482674396743	0.23857074509401585	0.22699438122528856	0.2589384293600428	0.23064667147065307	0.2611861524789372	0.2597325908580699
4.0	0.2455138793008999	0.24475543903532518	0.25686008497548646	0.2492408769860219	0.263753841365899	0.24907350446225626	0.25220504527395143	0.2344818497002284	0.2581511843503979	0.2290916228323365	0.25801225139121775	0.2490966001085424	0.23475861554225302	0.24488012835189896	0.24555888829942812	0.23724418360760618	0.24895738641445897	0.2577774325288924	0.23802834043353324	0.26201823482360365
5.0	0.23915852306497468	0.23473099669333505	0.25792169020261785	0.2357776480089117	0.24848661461745103	0.22561396506660522	0.23760187001249883	0.23719342326356982	0.23681263012657292	0.2594514216046033	0.27088906484823444	0.24282607034808984	0.254506058606013	0.2560392688187098	0.2517485866509269	0.2674164711082341	0.24073670880014789	0.2538373245194992	0.24194330383011511	0.25327998756166037
6.0	0.24320380315564255	0.25990206919700043	0.2387205589734024	0.25411512924776575	0.24683207023302337	0.2437878000755101	0.2433164027746235	0.2568386051026745	0.238413676109697	0.24669242655083984	0.2666231460480924	0.26222979617555514	0.2520746564409461	0.24054708064277877	0.2582356687101212	0.2546164365177337	0.2375131673137611	0.27579113363213015	0.2542504834294558	0.25377210351115215
7.0	0.24864034949490316	0.23134116237598157	0.26013387628652374	0.2601229526688901	0.23904534986706652	0.26553275382848834	0.2636151524727838	0.25917409701209454	0.2406021687493404	0.25582908210252997	0.25952426911296894	0.25660633544420897	0.2394374218165827	0.25865587691612385	0.25310515824371804	0.24430367962928629	0.26123519348607727	0.25154133983618354	0.2507510678346261	0.23988824181165616
8.0	0.23342409909171374	0.264158362812518	0.2485165168228925	0.25203711070488616	0.25263907215248016	0.26337949564839297	0.2598874804412001	0.2648342630179192	0.2592918349701143	0.25910435691086015	0.2487172484738972	0.2450877215209072	0.25291042176513717	0.25538427999620866	0.25455264379622444	0.2518444352845093	0.249849652856344	0.23837126209623405	0.25810877857391146	0.26170313705194936
9.0	0.2446071292178176	0.24852163269332495	0.24733113086365344	0.24683210601463482	0.25113804651882027	0.23476161958613315	0.24405079577318972	0.2425751917823606	0.25092720538910224	0.24759776120202115	0.2550907124574893	0.2612857805743988	0.23587900320646216	0.24234771880170092	0.24924931096573835	0.23818875149820457	0.26305945288151944	0.2380796356031367	0.26428269460992915	0.24701055615609527
10.0	0.2474925351308477	0.26022815632500834	0.23784423901068028	0.2445300170197711	0.2357468951217209	0.24519680166405552	0.2697392403775944	0.25290380379744637	0.25700645498634805	0.2666483735478353	0.24461515279285398	0.2516314632108582	0.26391789917199343	0.24659042251101648	0.26422927127081924	0.2516958225102451	0.249239301381059	0.23876990613434318	0.25971852614538476	0.2626156941586693
11.0	0.25066638229542243	0.23721747945318394	0.2498145711998352	0.25110324948863777	0.24815557447544398	0.25781284235387375	0.2548484116149562	0.2456923190785967	0.2378598575471199	0.2599147566767117	0.24816886470249508	0.24965379903468812	0.22503376043926265	0.26151483288201344	0.26362933607246275	0.251101306250693	0.25019718254812795	0.25267913903742184	0.2472837711097188	0.2543499977360175
12.0	0.2625932646430299	0.25322619450694556	0.25476936501238084	0.24157082590069648	0.25328897451857446	0.24874752337123293	0.2532871799526118	0.2592248854316044	0.23417577547512694	0.2534430477301048	0.2434288911941312	0.25621152979254164	0.24931635090320095	0.23520784487794424	0.2454849572105677	0.2440892594129932	0.24515580172873389	0.26463955244058945	0.23985567690351484	0.24781012877611613
